Player Name,Position,College,consensus,beast_grade,br_article_grade,br_pro_comparison,p_real_contract,p_practice_only,p_out_of_league,sc_prediction,p_mocked_higher,p_mocked_near_consensus,p_mocked_lower,draft_prediction,text_source,has_br,has_pff
Toriano Pride,CB,Missouri,252,6th-7th round,,,7.2,74.8,18.0,practice_only,21.7,13.4,64.8,mocked_lower,beast,False,False
Andre Fuller,CB,Toledo,253,6th-7th round,,,13.9,33.1,53.0,out_of_league,79.8,2.5,17.7,mocked_higher,beast,False,False
Quintayvious Hutchins,EDGE,Boston College,254,6th-7th round,,,21.6,45.4,33.1,practice_only,38.8,12.2,49.0,mocked_lower,beast,False,False
Barion Brown,WR,LSU,255,7th round-​,,,12.9,57.3,29.8,practice_only,74.1,2.2,23.7,mocked_higher,beast,False,False
Jaeden Roberts,IOL,Alabama,256,Free Agent,,,2.9,67.8,29.3,practice_only,10.8,3.1,86.1,mocked_lower,beast,False,False
Chase Roberts,WR,BYU,257,7th round-​,,,20.7,69.5,9.8,practice_only,90.4,0.9,8.7,mocked_higher,beast,False,False
Owen Heinecke,LB,Oklahoma,258,6th round,,,10.2,78.3,11.5,practice_only,23.7,17.5,58.8,mocked_lower,beast,False,False
DeShon Singleton,S,Nebraska,259,5th-6th round,,,40.6,45.5,13.9,practice_only,47.2,12.4,40.5,mocked_higher,beast,False,False
Desmond Reid,RB,Pittsburgh,260,Free Agent,,,7.9,65.2,26.9,practice_only,30.0,1.0,68.9,mocked_lower,beast,False,False
Rene Konga,DL,Louisville,261,5th-6th round,,,9.8,33.4,56.7,out_of_league,8.4,16.7,74.9,mocked_lower,beast,False,False
Xavian Sorey,LB,Arkansas,262,6th-7th round,,,6.4,55.4,38.2,practice_only,31.5,9.4,59.1,mocked_lower,beast,False,False
Caden Barnett,OT,Wyoming,263,5th-6th round,6.0 (Developmental Prospect - Late 5th/Early 6th Round),Discount Gennings Dunker,51.4,31.3,17.3,real_contract,40.5,15.2,44.4,mocked_lower,beast,True,False
Harrison Wallace,WR,Mississippi,264,6th-7th round,,,8.2,24.7,67.1,out_of_league,57.3,3.5,39.2,mocked_higher,beast,False,False
Colbie Young,WR,Georgia,265,4th-5th round,,,3.7,40.5,55.9,out_of_league,96.4,1.4,2.2,mocked_higher,beast,False,False
Avery Smith,CB,Toledo,266,5th-6th round,,,12.2,54.1,33.8,practice_only,52.3,21.6,26.1,mocked_higher,beast,False,False
