"","full_name","position","overview","pros","cons"
"177","Daeshon Hall","Defender","Whenever a team see prototypical physical traits, it’s easy to fall in love. Best guess is some team will overdraft Hall based on his frame with the chance he could develop. It’s concerning that Hall is a handsfighter without very active hands. The Texas A&M defensive end has a long way to go from a strength standpoint and may never get there.","Prototypical length and size for the edge. Does well to not get “locked in” to an offensive lineman. Utilizes his length to protect his chest and keep the ability to shed a block quickly. Already knows how to long arm tackles as a pass-rusher. With some added strength he could make a living as a bull-rusher in the league. Showed up as well as anyone in the Senior Bowl practices. Made some of the best offensive tackles in this class look silly.","Plays high whether it is versus run or pass. Likes to hand fight with offensive linemen as a pass rusher even though he’s not exceptionally useful with it. Regularly a step slow in recognizing plays and seeing running backs. Can shed blocks, but always seems late to do so. Doesn’t have another “gear” so to speak. Play seems lethargic at times and didn’t match the explosiveness in his testing numbers. Play strength doesn’t match his size. With his play style, he could stand to bulk up 15 or so more pounds even. Will get engulfed at the point of attack in the run game. Missed 11 tackles on only 52 attempts in 2016."
"178","Devonte Fields","Defender","The best one can hope for is that Fields packs on 10-15 more pounds of muscle and that is paired with a much more physical style of play. Until then he’s limited to a designated pass-rush role. At his size 40 without overly impressive athleticism, Fields may only have success against the most plodding of right tackles in the . There’s still something to work with here though and if added strength comes with added explosiveness, there will be a spot for Fields in an rotation.","Comfortable playing through contact. Just because he loses first punch battle, doesn’t mean he’s finished on a play. Flashes agility as a pass-rusher. Can swiftly cross the face of slower offensive linemen. Wins routinely with his hands. His strike zone versus both run and pass is already at an NFL level. Junior tape showed a far more consistent game to game pass-rusher. Flashes considerable burst to the edge at times even if it’s inconsistent.","Slight build with little strength throughout frame may limit him to a designated pass-rusher. Zero threat of a bull rush even against college tackles. Everything winning off shoulders. Gives up far too much ground when engaged with offensive tackles in the run game. Moved off line of scrimmage consistently. His first punch rarely jolts an offensive tackle. Forces him to win by getting the tackle to miss their punch entirely."
"179","Zach Cunningham","Stats","While Cunningham’s tackling is certainly a concern, his combination of physicality and athleticism makes him a viable every-down starter at the level. He flashes the ability to square up, break down and finish open-field tackles, he too often comes up high and out of control, causing him to miss. Few inside linebackers currently in the have his willingness and capability to take on and shed bigger blockers at the line of scrimmage, making him a complete linebacker prospect worthy of a mid- to late-first-round pick.","Outstanding thumper that loves taking on and destroying blocks from linemen, tight ends and lead blockers. His size, physicality allow him to be effective in man coverage against tight ends/ Has the athleticism to play the run from sideline to sideline as well as get effective depth in coverage; should not come off the field. Broke up seven passes on 86 targets over the last three years. Doesn’t vacate gap assignments by running around blocks; willing to take on, stack and shed to the ball. While he gave up 71.1 percent completions in 2016, the longest pass against him went for just 21 yards; only four of 57 career receptions against (86 targets) went longer than 20 yards. Can beat blocks to the point of attack with his combination of instincts and first-step quickness. Does an excellent job of finding the ball between the tackles despite constantly addressing blockers. Has the prerequisite height, length and build to play inside linebacker at the next level.","Tries to tackle high far too often, leading to missed tackles that he is in position to finish; 21 missed tackles in 2016 led to him finishing 174th in tackling efficiency Flashes ability to but does not consistently break down in space to finish; will come up out of control at times, even when taking the proper angle Will at times lose his man in zone coverage by peeking in the backfield"
"180","Jarrad Davis","Linebacker","Davis is an excellent athlete who possesses the first-step explosiveness to beat blocks to the point of Jarrad Davis Draft Class Avgattack as well as threaten the QB on pass rushes. He also has the speed and agility to drop effectively in coverage, and can stay with tight ends and backs all over the field. If he can improve his tackling, as well as become more consistent with his run keys, he clearly has the athletic skill set to be an every-down player at the NFL level.","Elite speed and explosiveness. Changes directions in a flash. Willing to take on and deliver a blow to bigger blockers. Viable pass-rusher because of his agility, burst and ability to time blitzes inside effectively; ranked 15th among FBS ILBs with at least 30 rushes in 2016 in pass-rush productivity. Can close in a hurry when going forward. Can be an asset to a defense in short zones and perhaps a “spy” role. Uses his quickness and toughness at the point of attack to win leverage on his gap when moving laterally, allowing him to effectively defeat blocks. Can run with tight ends and backs downfield, flip his hips without breaking stride and look back to find the ball. A weapon in the blitz game.","Out of control far too often on tackles – does not break down, tends to leave his feet far too often and never seems to get squared up to the runner. Has the physical traits to play in coverage but tends to misdiagnose targets or lose his man in space. Will get caught playing too close to the line of scrimmage and can get cut off easily on off tackle runs. His play tailed off at the end of the season when he tried to play against Arkansas in Week 10 and too easily controlled by blockers."
"181","Raekwon Mcmillan","Linebacker","McMillan looks the part physically and at times flashes the ability to stand up fullbacks in the hole, but he doesn’t consistently attack (or protect his frame) with his hands, and blockers are thus able to swallow him up off the ball. He had a number of negatively graded plays in 2016 because he did not recognize assignments in zone coverage and failed to get proper depth, and his general play against the pass at Ohio State may have some teams worried that he is just a two-down player at the next level. Teams concerned about his viability against the pass (he also shows limited burst and agility when rushing the passer) may not view him as a full-time starter in today’s game.","Has the power to take on fullbacks in the hole Stays square to the line of scrimmage when pursuing to the boundary Works well off leverage of DT, which allows him to attack holes at the line of scrimmage Reads run keys well – doesn’t get fooled by misdirection, doesn’t lose gap integrity Wraps up extremely well. Great understanding of the strike zone","Struggles to find targets, affect throwing lanes in zone coverage Almost all of his plays versus the run come unblocked. Rarely plays through blocks to finish Struggles to change directions against elusive ball carriers Does not consistently get proper depth in zone coverage Don’t see the speed required to consistently stay with NFL backs and TEs in coverage Lacks explosiveness and agility to be an effective blitzer"
"182","Blair Brown",NA,"Brown is an outstanding run defender despite his size because he has an innate ability to snip plays out and beat blockers to the point of attack before they can lock onto him. He rarely loses gap integrity, and is possibly the best tackler in this linebacker class. His play against the pass, is disappointing, however, as he struggles to quickly read the and identify targets, and lacks the athleticism needed to consistently close in time. Brown will likely be taken much later than he should be because of his size, but his play against the run will at the very least make him a viable two-down player this fall.","Ranked third in FBS in run-stop percentage; had 47 stops. In 2016, only Reuben Foster had higher overall and run-defense grades than Brown’s 92.4 and 91.5. 131 total tackles tied for the second-most among FBS ILBs. Very quick to diagnose and attack plays; allows him to beat blocks to the point of attack without having to fully engage and stack. Is particularly adept at getting underneath pulls, defeating them to inside leverage. Has the speed to get to the sideline from the opposite hash while at the same time staying square to his target. His outstanding tackling efficiency is aided by how quickly he finds the ball and the fact he keeps his feet when going for the finish.","At 5-foot-11 ½ and 238 pounds, he has less than ideal size. If blockers get on top of him and initiate contact he can get swallowed up. Can potentially offer something on blitzes because of his ability to work off the linemen in front to find lanes but lacks the burst and power combination to be a consistent threat. Lacks recovery once beaten on an angle; will likely also be an issue in man coverage situations against faster backs. Needs to improve hand usage in order to consistently defeat bigger blockers. Generally appears slower in coverage – doesn’t pick up targets quickly and lacks the ability to close in time to break up passes."
"183","Kenneth Olugbode","Stats","The key for Olugbode’s longevity will be adding bulk and strength, as he is too easily bullied by blockers that get their hands on him right now. While his testing numbers were just average (4.79 40), he displays excellent agility, quickness and change of direction on the field, aided by good instincts. His tackling ability and aggressiveness suggest he can make a living on special teams (and possibly in coverage) while he develops physically, and long-term could be a significant contributor on all three","Quick to recognize and attack plays inside, capable of using his athleticism to get underneath blockers and to the ball carrier at the line of scrimmage. Extremely disciplined to gap assignments; does not over-pursue and does not get overly aggressive and attack other open lanes unless he knows he can make the stop. While not an elite athlete, has the speed and lateral agility to get to the boundary on outside runs. Fluidity in space suggests he can translate in coverage despite college stats; can identify, break and close effectively in front and can change directions without losing a step. Can break down effectively and finish in space, even when pursuing at full speed. Gets good depth in zone coverage. Agility also demonstrated on blitzes; can time rushes effectively and use his athleticism to avoid blocks; 15 total pressures on 91 rushes. Eliminate his game vs. USC (four missed tackles) and he finishes last season eighth among FBS inside linebackers in tackling efficiency.","Will at times try to run around blocks and leave too much open space to recover to in his gap assignment. Lack of bulk, natural strength shows up when trying to take on blockers; measured just 6-foot-1 and 222 pounds at pro day. Showed only marginal improvement in coverage in 2016; surrendered catches of at least 15 yards in each of last five games, nine of 15 total. Will get sucked in by play action, allowing defenders behind him. Will likely need to change positions due to his struggles against blockers; ranked just 79th in run-block percentage last season despite significantly improved grades and it’s due to his inability to shed blocks."
"184","Jordan Evans",NA,"Evans is a but frustrating to evaluate because he clearly has the athleticism to start at the next level, but his lack of physicality, in particular at the tackle point, prevents him from making as many plays as he should. While he uses good instincts and technique to maintain his leverage against blockers, he tends to stop his feet and try to arm-tackle ball carriers, and misses far too often, as his poor tackling efficiency stats imply. Where he is at his best is in coverage, as he can cover a lot of ground in a flash and shows excellent balance and agility when changing directions. He has a limited amount of special teams experience from college, but will likely need to produce in this capacity early in his career. While he is worth an early day three pick because coverage linebackers are so critical in today’s game, if he doesn’t play with more all-around consistency and competitiveness he is not likely to reach his full potential.","4.50 speed from pro day and all-around athleticism shows up on film – has the speed to get sideline to sideline and can do so while staying square to the line of scrimmage. Attacks blocks with proper shoulder in order to keep arm free and maintain gap integrity. Fluid in space, can get effective depth on drops and change directions smoothly in order to break and close on plays away from him. Does a strong job of staying home with his assignments; won’t get fooled by misdirection, play-action. Excellent production in coverage; gave up a QB rating of just 64.3 and one TD in 2016 while intercepting four passes and breaking up five. When focused, does an excellent job of reading the QB and finding throwing lanes in zone coverage","Lack of physicality leads to completions he’s in position to disrupt, as well as missed tackles; very much an arm tackler who does not keep his feet and deliver a blow through his targets. Ranked just 142nd among FBS ILBs in run-stop percentage; posted just 26 run stops with eight missed tackles. 12 total missed tackles in 2016, ranking him 108th at his position in tackling efficiency. Will freelance a bit in zone coverage; doesn’t consistently diagnose targets and will give up space he should have closed down. 161 of his 295 yards allowed and nine of his 24 catches surrendered in 2016 came against Texas"
"185","Jayon Brown","Linebacker","From an advanced statistical stance, Brown was one of the best linebackers in college football in 2016. He is a consistent tackler that finds ways to make plays in the run game despite his size limitations, and can also use his agility and burst to blitz effectively on pass rushes. His true next-level value is in his coverage ability, as he has the agility and closing speed of a safety and pairs his athleticism with excellent instincts in both zone and man coverage. While his size will again likely limit him in man coverage against bigger tight ends, he can also use his athleticism to effectively play the ball in the air. Because of his poor bulk and strength against blockers, he will have his struggles in the run game atthe next level, and likely will not be viewed by some teams as an every-down player. Brown provides a valuable Day 3 option who can contribute on passing downs.","Has the fluid athleticism of a safety in coverage – stays low in his pedal, can transition effectively with burst. Has no problem getting depth down the seams. Could be effective at Will on run downs; needs to be able to operate in space in order to avoid blocks. Improved drastically in coverage this past season, as he gave up 64.7 percent completions with six total passes defensed in 2016, compared to 83.9 percent completions, no PDs and a 112.9 QB rating against in 2015. 19th in run-stop percentage and ninth in tackling efficiency in 2016. 26 pressures on 117 combined rushes in 2015 and 2016 suggest his edge speed can also be utilized in the capacity at the next level. Can’t take on blocks but will play to leverage to maintain gap assignment. Finished ninth in tackling efficiency; consistently wraps up and attacks low, using his athleticism to finish to the ball carrier.","Undersized linebacker. Gets engulfed by offensive linemen in the run game. While he doesn’t show fear taking on blockers at the line of scrimmage, he’s too easily sealed out of plays. Not sold that his college play against the run will translate to the NFL – will likely need to switch positions or could be a situational player. Lack of size likely to limit his effectiveness against tight ends in man coverage."
"186","Anthony Walker Jr.","Linebacker","Walker has the natural bulk to play inside at the next level, and should be able to add weight to his frame. When initiating with blockers he shows he has the ability to shed, but at times will get caught attacking a bit too far upfield and get sealed out too easily. His biggest issues are his tackling, which is poor due to his over-aggressiveness, and his play in coverage. He seems to get lost in transition attimes, and doesn’t show the same athleticism going backward as he does when attacking the line of scrimmage. He also tends to lose receivers through his area, and struggles to locate the ball once it’s in the air. Walker will need to significantly improve both of these areas of his game if he is to have a regular role at the NFL level, but is likely to be selected early on Day 3 because of his athletic measurables.","Plays bigger than 6-foot-1, 238 pounds suggests; has good upper-body build and isn’t afraid to get physical with blockers. Offers enough burst and physicality at the line of scrimmage to offer some viability as a blitzer. Has the speed to cut off the boundary on outside runs as well as get depth in coverage when using proper footwork. Can defeat blockers with both strength and quickness at the point of attack. Ranks third among draft-eligible Big Ten inside linebackers with at least 300 run snaps in run stop percentage.","Has the athleticism to be effective in coverage but appears to lack awareness; struggles to consistently identify receivers and route concepts through his area. Will get fooled by play-action; follows flow of play at times without regard to his keys. Choppy in his pedal, can lose ground in transition when in man coverage despite straight-line speed. Tends to overrun plays when attacking forward, resulting in far too many missed tackles. At times will try to run around gaps instead of taking them head-on. Yielded receptions on 65 of 86 combined targets into his coverage in 2015 and 2016."
"187","Tanner Vallejo","Linebacker","Vallejo is a unique study, because his overall grade of 93.1 as a sophomore in 2014 was the second- highest among all LBs, but injuries and missed tackles severely limited his production in 2015 andup in terms of space, yet he saw limited action in man coverage. He has the competitiveness to take on blocks effectively despite his size, but tends to get absorbed and lose track of the ball, and his containment assignments. If he learns to consistently keep his feet when tackling (he deserves some benefit of the doubt for playing in seven more games after tearing ligaments in his wrist in Week 2 against Washington State this past season), he has a real shot at developing into a starter because his athleticism and instincts should translate on every down at the next level.","Has a subtle quickness and burst that helps him get around blockers on the edge to make tackles at the line of scrimmage. Moves well in space; looks comfortable in his drops and can transition forward, showing a good burst attacking to the line of scrimmage on underneath routes. Not afraid to get physical with blockers at the point of attack, use his hands to set and shed. Average yards per catch surrendered was under 6.0 in seven of nine games in which he was targeted; gave up just one grab over 20 yds (43 targets), none over 10 in all but two games played. Drew three holding penalties against Washington State by attacking blockers aggressively on the edge. Has the burst and agility to be effective on blitzes and stunts when rushing the passer.","At 6-foot-1 and 228 pounds, he lacks the height and bulk consistent with his position at the next level and will need to add to his frame. 432nd in tackling efficiency in 2016 among all off-ball LBs. Attacks aggressively downhill to a fault; can deliver big hits in the backfield but will also overrun plays and take bad angles. Will get pre-occupied with taking on blockers on the edge and forego gap assignments. Tends to stop his feet on contact, which will cause him to slip off tackles at times. Has the athleticism to cover downfield but lacks experience, feel for man coverage."
"188","Ben Gedeon",NA,"Gedeon is a two-down linebacker who likely played at his athletic and physical capacity in 2016 due to the strength of the Michigan roster around him. He is quick to diagnose and attack run plays in front, and is a sound tackler because of his ability to stay square to his targets, but his lack of playing speed and instincts in coverage make him a liability on the back end. His physicality against blockers does give him some viability on inside runs and on blitzes, but he shouldn’t be taken until the middle of Day 3.","Sifts through trash well, consistently finds the ball on run plays. Stays square to the line of scrimmage when pursuing laterally, allowing him to change directions efficiently and break down to make open field tackles. Missed just one tackle in eight Big Ten games in 2016. Possesses the length and bulk to take on and defeat larger blockers, and also uses his natural leverage to create an advantage. Physicality with blockers makes him a viable blitzer on passing downs; posted six sacks, 16 total pressures in 2016.","Timed speed (4.75 40 at the combine) is better than playing speed, which can be exploited in space when in coverage both in terms of recovery and ability to run downfield. Speed also hurts him on outside runs when he has to chase, as he has to adjust his angles in order to prevent backs from winning the edge cleanly. Will bite on play-action, putting him out of position on coverage plays. Lacks the burst, explosiveness to effectively attack the QB off the edge."
"189","Alex Anzalone",NA,"Each of Anzalone’s last two seasons was cut short due to injury; in 2015 he missed 12 games with ashoulder injury (the same shoulder limited him in 2013 as well), and last season he did not play the final four games due to a broken arm. While he is a good athlete and has the size required to play inside linebacker at the next level, he is too easily sealed and driven off the point of attack by all blocks, and needs to improve his strength in order to better hold up at the NFL level. He flashes the straight-line speed needed to be effective in coverage, but lacks the explosiveness required to break and close effectively when a step late. He will need to make his mark on special teams, but played on Florida’s teams units in just five games between 2014 and 2016.","Shows good agility when changing directions, flipping his hips on coverage drops; this agility played out at the combine, where he put up a 6.88, fourth-best among linebackers. Times blitzes well and uses his speed to beat blockers to his gap. Solid size for his position; measured just under 6-foot-3 while weighing 241 pounds at the combine. Straight-line speed shows up in coverage when he reads assignments correctly, as he is able to stay with tight ends on crossing and downfield routes; ran a 4.63 40 at the combine. Strong week of practice at the Senior Bowl, grading among the best linebackers.","Struggles to disengage from blocks once locked onto; tends to stop his feet on contact and is too easily engulfed by bigger blockers. Lacks explosive closing burst, which shows up both on blitzes and in coverage. Tries to simply outrun blockers to the point of attack; rarely uses his hands to protect his frame. Doesn’t read pulls and lead blocks well and consistently gets sealed out of his gap. Will stop his feet and miss tackles; ranked 240th among FBS ILBs in tackling efficiency. Limited coverage experience in Florida; in three seasons gave up completions on 18 of 24 throws into his coverage with one pass breakup and no interceptions. Needs to improve his strength – too easily moved off his spot by all blockers. Injuries limited him to only 577 career snaps at Florida."
"190","Jalen Reeves-Maybin","Linebacker","Reeves-Maybin is a run-and-chase linebacker who showed little in his skill set outside of his athleticism when on the field. He lacks the bulk, strength and hand usage to take on blockers effectively, but can use his speed to effectively pursue in space when he has room to operate. While his speed could be a big plus in coverage, he struggles to identify assignments in zone coverage, and gets caught peeking at the too often. He’ll likely need to play a role on special teams in order to see consistent playing time at least early in his career, but will need to learn to not leave his feet when trying to tackle. He is worth a Day 3 selection because of his athletic potential in coverage.","Possesses the straight-line speed and burst to close effectively to the boundary. When he reads a play in front he explodes to the point of attack, allowing him to avoid blockers and make plays at or behind the line of scrimmage. Speed also allows him to pick up backs effectively in man coverage. Flashes the lateral agility needed to stay square to the line of scrimmage while pursuing laterally. Offers some pass-rush ability, as he accumulated six sacks and 17 total QB pressures in 2015.","Played just 114 snaps in 2016 due to season-ending shoulder surgery after Week 4. At 6-foot-0 and 230 lbs. he lacks the height and bulk to consistently take on blockers at the second level; once blockers lock on he struggles to disengage. In zone coverage will lose track of or fail to identify receivers coming through his zone by focusing exclusively on the QB. Yielded 63 receptions on 86 targets between 2014 and 2016; had a QB rating against of 100.6. Must improve hand usage against blockers."
"191","Calvin Munson","Linebacker","Munson was a highly productive player in all three phases in college, but considering his speed limitations it’s difficult to see much of what he accomplished at San Diego State translating to the next level. What will translate is his ability to quickly diagnose and attack the run, as he does possessthe short area quickness and aggressiveness to avoid blocks at the line of scrimmage without compromising gap integrity. He has the physicality to defeat blockers, but needs to consistently be the aggressor, as he struggle to shed once his man is locked onto him. He is capable of playing in coverage on underneath zones, but once he’s asked to turn and run he quickly loses ground he can’t make up. He can time blitzes well and work off stunts effectively, which led to him posting 24 sacks over the past three seasons at San Diego State. However, until he learns how to use his hands to set up a variety of moves against blockers, he is unlikely to translate his college production in this category to the NFL THREE YEAR 24 18 38 3 208 68 42 160 52 81 517 1 7 3 level. Munson has some viability as a run defender, especially if he can learn how to consistently stack and shed blocks inside, but his lack of straight-line speed could make it tough for him to stick unless he can quickly prove his worth on special teams. He should be part of the mid-Day 3 discussion.","Physical player at the line of scrimmage; shows a willingness to take on blocks at the point of attack and has the strength to defeat them. Plays with great leverage; consistently the low man, allowing him to square up and deliver huge blows. Combines his instincts with his short area quicks to avoid blocks without giving up gaps and find the ball-carrier. Excellent change of direction ability and burst. Munson’s 88.2 overall grade was eighth-highest at ILB, 78.3 pass rush ranked fourth in FBS.","Lacks the straight-line speed to effectively close in space. Does not display the instincts to consistently locate and close in zone coverage, and his speed limitations can be exposed when playing man. Lacks the speed, athletic skill set to translate pass-rush production to NFL; much of college production manufactured by stunts, blitzes, timing, etc. Scheme put him in very good position to succeed, often shooting gaps. Ranked just 130th among ILBs in tackling efficiency with 17 misses on the season. If he doesn’t initiate contact, he lacks the countermoves necessary to defeat blocks."
"192","Keith Brown",NA,"Brown does not have the athletic profile to start at the next level. His speed limitations are glaring on outside runs and coverage, as he has to take extreme angles and give up yardage in order to makeplays to the boundary. While he graded well at his level of competition in college, his speed issues were still apparent in limited man coverage situations and there are serious questions as to whether this area of his game will translate to the NFL. He has some potential as a two-down run-stuffer because of his ability versus blockers, but will need to make a large impact on special teams in order to stick.","Ranked fourth among 2017 ILBs with at least 50 pass-rush snaps in pass-rush productivity in 2016; his seven sacks ranks second in the ILB class to Houston’s Steven Taylor, who had 98 more reps. Has the bulk and physicality to take on blockers at the line of scrimmage – measured 6-foot-0 ½ and 246 pounds at pro day. 25 bench reps at pro day would have tied him for second among all LBs at combine. Does an effective job of identifying pullers and working across them to stay free and make the tackle. Intercepted two passes and broke up another four in 2016; big part of his 90.5 coverage grade that was second-best among FBS linebackers.","Susceptible to giving up the big play in coverage; was charged four plays that went 30-plus yards in 2016. Lacks the athleticism to play every down at the next level; at his pro day he posted a 4.84 40, 4.63 short shuttle and 7.49 3-cone. While he is a capable block-shedder, he tends to get too absorbed with them; needs to work on technique to keep outside arm free in order to control gap and shed to ball in time for stop. Speed issues show up immediately in coverage – lacks ability to close effectively in front and can’t stay with receivers in man coverage either across the field or down the middle on seam routes. Will try to deliver a blow but runners will tend to bounce off of him; needs to do a more consistent job of wrapping up and securing tackles."
"193","Kendell Beckwith",NA,"Speed issues should limit Beckwith not only to inside linebacker for a 3-4 team, where he’ll have less room to operate than in a 4-3, but to run downs as well. He lacks the speed to pursue to the boundary, as well as stay with tight ends and backs in coverage, and appears to lack natural instincts in zone coverage as well. Unfortunately for him, in order to play inside at the next level he needs to be aconsistent tackler and do an effective job of taking on blocks, and his college film does not show either of these skill sets. Combine these issues with his current ACL recovery and Beckwith will be fighting for a roster spot.","At 6-foot-2, 243 pounds, with 33-inch arms, he has solid measurables for his position. Not afraid to deliver a blow when he does attack blockers (and runners) at the line of scrimmage. Aggressiveness in short-yardage situations allows him to beat blockers to the point of attack, putting him in position for big stops.","Doesn’t stay over his feet when strafing laterally, causing him to lose balance too easily. Struggles with blockers despite physicality; will stop his feet on contact, wait for them to come to him at second level or try to run around them and lose gap integrity. Misses tackles because he leaves his feet and struggles to break down and wrap up. Tore his left ACL against Florida Nov. 19. Poor feel for cut blocks; does not use his hands well to protect his frame and too easily taken down. Lacks speed to cover in space as well as consistently make plays to the boundary without taking conservative angles. Looks lost at times in zone coverage; struggles to identify and close on targets, will guess early on route concepts and get out of position."
"194","Tre’davious White",NA,"White stands out despite a deep cornerback class due to his ability to play on the outside and in the slot. He can hold his own against bigger receivers while showing the shiftiness to stick with better route-runners, making him a versatile option in the secondary. He had strong years in 2014 and 2016, % sandwiched around an average 2015, so there are some question marks about his consistency, but at his best, White is capable of sticky coverage with playmaking ability.","Aggressive player, willing to trust his instincts and attack the ball. Sometimes to a fault, but helped allow a completion percentage of just 41.7 percent this past season. Fantastic athlete who doubled as a punt returner. Can put points on the board both on defense and special teams. Showed enough speed and athleticism to recover deep when needed. Smooth mover who transitions well, can recover, and stay on top of double moves Plays the ball well. His 12 pass breakups were tied for third in the nation, and he also had two interceptions Improved tremendously in coverage from 2015 to 2016. His NFL passer rating allowed dropped from 114.4 to 60.6, his touchdowns allowed dropped from six to three, and his completion percentage allowed dropped from 57.7 percent to 41.7 percent. (INT+PD/Targets) Really solid tackler in 2016, especially for a defensive back. Missed just five tackles, ranking in the top 21 percent of all cornerbacks with at least 500 defensive snaps this year. Versatile enough to play in the slot and on the outside, playing in both spots during his college career.","1st down % Struggled in 2015 before bounceback 2016. Can get a little flat footed at times, cost him a long touchdown on a slant against Texas A&M. Aggression did get him into trouble at times, and got beat down the right sideline on another play against Texas A&M. Can get too caught up focusing on the receiver and not looking for the ball. Gave up a catch of 30 or more yards in three of the final six games of the year and could have prevented this by getting his head turned around. Lost focus in off coverage on occasion, and looked far more comfortable when he got to press the receiver. 60"
"195","Jourdan Lewis",NA,"Lewis is a playmaker who, simply put, has been one of the top cornerbacks in college football over the past three years. He makes plays on the ball, and just doesn’t allow wide receivers much success % against him, giving up just 905 yards in coverage between 2014 and 2016. The big question will be if he can improve his game enough to dominate bigger, faster receivers in the , but in the very least he projects as a solid slot corner at the next level, with the skillset to be even more.","Elite ball skills. Six interceptions and 28 pass breakups over the past three seasons. Knows how to find the ball and plays it well. Feisty in man coverage. Can mirror at the line of scrimmage and a potential asset against the better route-runners at the next level. Quick to react to wide receiver screens and come up to make the tackle. Good tackler. Missed just five tackles in 2016, and just 13 of the 114 he has attempted over the past three years. Solid against the run. Has registered 21 tackles resulting in a defensive stop since 2014. Split his time between right cornerback and in the slot. Incredibly productive at slot cornerback. Allowed an average of just 0.35 yards per coverage snap when lined up on the inside. (INT+PD/Targets)","Long speed is an issue. Does he have the speed to stay with some of the best athletes in the world in the NFL? Lives dangerously on the deep ball, often getting stacked by receivers though he’s still managed to 1st down % make plays on the ball at the college level. Can be caught biting on double moves, leading to potentially big plays. A little bit too grabby at times. Flagged 14 times over the past three seasons and needs to learn to be a bit subtler with contact. Struggles with bigger receivers. Gave up 109 yards on seven catches to Michigan State’s Aaron At 5-feet-10, there will be questions about his height. Smaller cornerbacks have had plenty of success 60 in the NFL, but it is likely to scare some teams away."
"196","Marlon Humphrey","Cornerback","Humphrey played a big role on a very good Alabama defense, but will face some questions as he transitions to the next level. He has the size and length to play press coverage, but he loses far too often at the catch point, particularly down the field. Humphrey’s best work often comes in zone coverage and he may be able to help a team as a safety. Despite the question marks, make no mistake about it, if Humphrey lands at the right spot, he can be a very good player in the .","Good fit in zone coverage. Excels when the play is in front of him — big part of the reason why a switch to safety might make the most sense. Fantastic at reading and working off of blocks on wide receiver screens. Gave up just three yards on wide receiver screens in 2016. Can hit in a big way and knows how to use his body to subtly cut off receivers from the ball. 20 of the 30 incompletions on throws into his coverage came via an interception, pass breakup, cutting a receiver off or getting close enough in coverage to force a more difficult catch. Fairly sure tackler, missing just six tackles throughout 2016. At 6-feet-1, has the size that NFL team will covet to develop as a press man corner","(INT+PD/Targets) As good as he is with the play in front of him, he definitely struggled on deep passes. Gave up an average of 16.3 yards per catch in 2016, and 17.4 in 2015. Struggles to find the ball in the air and play through the receiver’s hands, leading to too many big plays Long speed is an issue. Humphrey is not slow, but also not blazing fast. How will he hold up against 1st down % speedsters in the NFL? Played left cornerback almost exclusively over the past two seasons, so no experience in the slot or tracking receivers. His most natural position might not actually be at cornerback. Given how much he has impressed with the play in front of him, and his struggles on deep balls, Humphrey may be a better fit at safety in the NFL."
"197","Sidney Jones","Cornerback","Jones posted an impressive 86.1 coverage grade in 2016 but his coverage statistics are likely somewhatskewed because teams so often shied away from throwing at him. Jones’s 9.0 cover snaps per target was the fifth-lowest mark among Power-5 cornerbacks in 2016. Impressively, Jones was just one part of a talent-laden secondary at Washington, but he was the one that opposing offensive coordinators avoided on purpose. Jones has the quick feet and excellent balance to play press man coverage at a high level. Jones is at his best in the red zone where he clamps down — he didn’t allow a single PASSER touchdown in coverage in 2016 and even more impressively hasn’t given up a touchdown in coverage TACKLES ASSISTS MT STOPS TARGETS REC CATCH % YARDS TD INT PD RATING since Week 7 of the 2015 season.","Excels at playing press man coverage Excellent ball skills; has a great feel for breaking up or intercepting passes while avoiding blatant contact Keeps low in his initial back-pedal until his receiver declares his route Good recovery burst of speed if beaten off the line in press Willing hitter and finished season with 77.5 run-defense grade Tremendous footwork and balance allows him to play tight coverage off the line Breaks on the ball well in zone coverage Effective at cutting off routes in the red zone Doesn’t allow his man to score touchdowns (INT+PD/Targets) Scares opposing offensive coordinators, only targeted 48 times (tied for 201st in the country) in the pass-heavy Pac-12 7 coverage snaps per reception ranked No. 17 in the draft class","1st down % Not as effective in off coverage as he is tight man coverage Needs to get physically stronger Can get pushed around at the top of route stems; receivers can separate, particularly on horizontal routes Height is good for the position but he has a thin frame Missed 11 tackles over the last two seasons"
"198","Gareon Conley",NA,"While Conley isn’t the dominant cornerback that Buckeye teammate Marshon Lattimore is, he has still % shown serious flashes of skill in his time at Ohio State. He has continued to improve throughout his college career, but the question remains whether his eye-popping stats this year were more of an outlier or part of a trend. His tackling needs to improve at the next level or we’re going to see too many big plays as a result of him not wrapping up properly, but his coverage skills make him an intriguing option at cornerback in a talented draft class.","long and knows how to use his frame. press at the line of scrimmage. eye-popping performances, but he has more than enough speed to track receivers downfield. in the final two games of the year, and his yards per coverage snap average of 0.51 was the best in this draft class among cornerbacks to play at least 160 coverage snaps. his coverage in 2016. (INT+PD/Targets)","outstanding for Conley, but with NFL passer rating allowed totals of 71.6 in 2015 and 129.2 in 2014, was 1st down % this year an outlier? on the ball if he had shown a little more awareness. also improve the angles he takes to the ball carrier."
