player_name,player_key,team,position,headshot_url
Kevin Bauman,kevin bauman,Notre Dame,TE,https://a.espncdn.com/i/headshots/college-football/players/full/4429174.png
Joshua Braun,joshua braun,Kentucky,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4429177.png
Aidan Bouman,aidan bouman,South Dakota,QB,https://a.espncdn.com/i/headshots/college-football/players/full/4429179.png
Vito Tisdale,vito tisdale,Eastern Kentucky,DB,https://a.espncdn.com/i/headshots/college-football/players/full/4429183.png
Sam Adams II,sam adams ii,Sacramento State,RB,https://a.espncdn.com/i/headshots/college-football/players/full/4429186.png
Akheem Mesidor,akheem mesidor,Miami,DL,https://a.espncdn.com/i/headshots/college-football/players/full/4429190.png
Deuce Hogan,deuce hogan,Nicholls,QB,https://a.espncdn.com/i/headshots/college-football/players/full/4429191.png
Jahvante Royal,jahvante royal,Central Connecticut,CB,https://a.espncdn.com/i/headshots/college-football/players/full/4429192.png
Beau Allen,beau allen,Kentucky,QB,https://a.espncdn.com/i/headshots/college-football/players/full/4429209.png
Rashad Amos,rashad amos,Georgia State,RB,https://a.espncdn.com/i/headshots/college-football/players/full/4429212.png
Clinton Anokwuru,clinton anokwuru,Northwestern State,DL,https://a.espncdn.com/i/headshots/college-football/players/full/4429217.png
James Ash,james ash,Auburn,DL,https://a.espncdn.com/i/headshots/college-football/players/full/4429233.png
Dylan Barrett,dylan barrett,Iowa State,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4429248.png
Ben Barten,ben barten,Wisconsin,DL,https://a.espncdn.com/i/headshots/college-football/players/full/4429250.png
Kobe Baynes,kobe baynes,Kansas,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4429254.png
Marquez Bell,marquez bell,Florida A&M,WR,https://a.espncdn.com/i/headshots/college-football/players/full/4429255.png
Rashad Battle,rashad battle,Pittsburgh,DB,https://a.espncdn.com/i/headshots/college-football/players/full/4429256.png
Raequan Beal,raequan beal,Tuskegee,NA,https://a.espncdn.com/i/headshots/college-football/players/full/4429258.png
Marquis Black,marquis black,UConn,DL,https://a.espncdn.com/i/headshots/college-football/players/full/4429279.png
Jadyn Bost,jadyn bost,Alcorn State,DL,https://a.espncdn.com/i/headshots/college-football/players/full/4429289.png
Jason Brooks Jr.,jason brooks jr,Houston,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4429303.png
Treyvon Branch,treyvon branch,Morgan State,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4429310.png
Henry Bryant,henry bryant,Georgia State,DT,https://a.espncdn.com/i/headshots/college-football/players/full/4429325.png
Deondre Buford,deondre buford,Cincinnati,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4429327.png
Jahmeer Carter,jahmeer carter,Virginia,DT,https://a.espncdn.com/i/headshots/college-football/players/full/4429371.png
Jalen Catalon,jalen catalon,Missouri,S,https://a.espncdn.com/i/headshots/college-football/players/full/4429385.png
Alfred Chea,alfred chea,Ball State,LB,https://a.espncdn.com/i/headshots/college-football/players/full/4429387.png
An'Darius Coffey,andarius coffey,Purdue,DB,https://a.espncdn.com/i/headshots/college-football/players/full/4429406.png
Logan Compton,logan compton,Incarnate Word,TE,https://a.espncdn.com/i/headshots/college-football/players/full/4429445.png
Armondous Cooley,armondous cooley,Tulane,DL,https://a.espncdn.com/i/headshots/college-football/players/full/4429446.png
Josh Crabtree,josh crabtree,North Carolina Central,WR,https://a.espncdn.com/i/headshots/college-football/players/full/4429461.png
Jacolby Criswell,jacolby criswell,East Tennessee State,QB,https://a.espncdn.com/i/headshots/college-football/players/full/4429463.png
Devyn Curtis,devyn curtis,Arkansas State,LB,https://a.espncdn.com/i/headshots/college-football/players/full/4429465.png
Brian Dillard,brian dillard,South Alabama,S,https://a.espncdn.com/i/headshots/college-football/players/full/4429517.png
