"","full_name","blurb","pros","cons","where_wins","what_role","what_improve","bottom_line"
"158","Nephi Sewell","If the last name sounds familiar, it's because Nephi is the older brother of the behomoth right tackle that plays for the Detroit Lions. Nephi did not get near his brother's frame, unfortunately. Even still, Nephi was a productive player for two years at Nevada before transferring in 2019. After only plyaing three games that year, Sewell has been a starter alongside Devin Lloyd the past two seasons where he continued to produce in the run game. The NFL Hilliard couldn't care less about production, though, if it doesn't come with the requisite physical tools. Saint George, UT","blocks as he needs to and still make plays. Plays bigger than listed size. passes through assignments in coverage.","Agility and body control to contour around for a lot of roles. Carries majority of his weight in his lower half. over career despite no form concerns. High football IQ. Shows with how quickly he ride at the second-level.",NA,NA,NA,"Undersized and middlingly athletic, Sewell won't be a shoe-in for a roster spot."
"159","Brandon Smith","Smith first started for the Nittany Lions as a sophomore in 2020 when he played the overhang/slot role in the defense. He then transitioned to a more traditional linebacker role this past season, where his athletic tools shined. He's got a massive wingspan and easy movement skills for a 240-plus-pound linebacker. Unfortunately, he has an out-of- control playstyle, and you see that as a tackler, where he's missed over 13% of his attempts every year of his career. He's a Pratt project, but having turned just 21 in April, you can expect some development. Mineral, VA","well proportioned. hurry. Effortless mover. see from a player at 240-plus pounds.","Ideal frame for off-ball linebacker. Long and break down more consistently. Long strider who can range to the flats in a play up to his size. Played the overhang/slot role in 2020. Rare to get locked up too much.","F LU IDIT Y Not a lot of 240-pounders glide across the field as smoothly as Smith. He can run with tight ends or running backs in man coverage with ease. Those are skills you can't teach.","A LL- A R OU N D LB Smith would benefit from a simplistic scheme that allows him to play fast. Despite his size, he's not a plug-and-play versus the run just yet. He could start as a dime linebacker and grow into a three-down role.","P R OCESSIN G SP EED Smith has to up his processing speed and develop more block destruction techniques. It's understandable given his position switch, but he will need to improve there.","There's so much to like about Smith the athlete, but his play style rarely allows those traits to shine."
"160","Channing Tindall","Tindall is among the fastest linebackers you'll see on tape at the collegiate level. I don't want to hear 40 times -- go and watch him close to ball carriers in the flat, and you'll see what I'm talking about. He has a special ability to close to ball carriers. That being said, there's a reason he never started for Georgia and couldn't even carve out a role until his senior year. He's still a loaded gun that fires haphazardly and Daryl can easily be taken out of position. Washington Columbia, SC","him to the sideline. through ball carriers. uncoachable ferocity.","Elite speed for a linebacker. Not going to beat borderline lost and running at full speed. Comes in with bad intentions as a tackler. Runs year to even see notable playing time. Violent blitzer. Takes on running backs with much heft to stack a lineman.","N OSE F OR T H E BA LL Tindall wins hunting down ball carriers. He runs like the terminator, seemingly picking up speed with each step. He is the kind of player who can set a physical tone for a defense.","BLIT Z - H EA V Y LB Georgia's scheme really played to Tindall's strengths, allowing him to blitz on about one-third of pass plays and having him spy on a good number more. He's a weakside linebacker in a blitz- heavy defense.","Z ON E F EEL Tindall needs to improve his feel in zone coverage. He's a pure pursuit player at the moment with very little anticipation and playmaking ability in coverage. He's more straight-line speed than fluid athlete.","Tindall may not be the most well-rounded linebacker, but he can still be a difference-maker with his speed and aggressive play style."
"161","Quay Walker","Walker barely was the field his first couple seasons before he became a rotational player in 2020 and a starter in 2021. He was utilized in a blitz heavy role. He was even capable enough in that regard that Walker was trusted as a true edge player in certain packages. He has the kind of length that can drop down and set the edge in a pinch. While he doesn't have a ton of high- end plays on tape, Walker didn't take a lot of downgrades either. His 42 downgraded Campbell plays in 2021 were the third-fewest of any FBS linebacker that played 800+ snaps. Cordele, GA","continue in the NFL. but at 240+ pounds. breakup on Treylon Burks. yard.","One of the best tacklers in the class. Traits to attack it. Smooth explosiveness. Moves like a slot corner, always on balance. Length to give tight ends fits. Had a pass- solo one tackle for loss in 2021 and was only -1","CON T R OLLED P H Y SICA LIT Y Walker has that unique ability to show off high end athleticism consistently without ever looking reckless. He knows when he needs to turn it on and when to be patient with it.","MA N - H EA V Y LB Ideally you want Walker blitzing or playing man coverage. Just let his physical tools take over and he's a problem for opposing offenses.","DIA G N OSIN G It's not a processing speed problem with Walker on tape, but rather knowing consistently what's coming next. With only one-year as a starter, though, there's reason to believe that will come in time.","There's a lot of reasons to think Walker could be a more impactful NFL player than college player. He's a 3-down player."
"162","Jalyn Armour","Armour-Davis had to battle through a lot to be an overnight success in 2021. He tore his ACL before his freshman season even started. It would take two seasons riding the pines after that before Armour-Davis earned a starting job across from Josh Jobe. He was worth the wait as he allowed only 290 yards on 27-44 targets all season. Once again, though, injury issues popped up as he missed three of Alabama's final four games and was limited to only 15 snaps vs. Darby Cincinnati in the playoffs. Mobile, AL","caliber speed. experienced corner. physical at the line or simply mirror.","Can go stride for stride down the field with NFL- field to begin with. Plays with a patience and control of a far more Struggles to ID both man and ball. Press transitions are fantastic. Can play both snaps prior to 2021.",NA,NA,NA,"If Armour-Davis starts to find the football better he could be a difference maker in the NFL. His injury history could cause him to fall, unfortunately."
"163","Kalon Barnes","Barnes saw time as a freshman and sophomore, but didn't get a starting role until his junior year in 2020. He impressed in the COVID-shortened season allowing only 9-19 targets for 183 yards. Barnes returned for his senior season and was similarly difficult to attack on the outside. Despite his speed, he hasn't been completely inpenetrable down the field with 11 deep completions allowed in his career. Van Dyke Silsbee, TX","the position. step. Doesn't have to be with his speed. of his pedal.","Some of the best makeup speed you'll see at truck. Not overly anxious at the line or when he loses a Gets caught in no man's land Instant acceleration to work back downhill out rookie season.",NA,NA,NA,"Barnes speed is too impressive not to take a flier on developing later in the draft."
"164","Andrew Booth","Booth served as a sub-package corner as a redshirt freshman before taking over in a full-time role this past fall. He's an interesting projection because he has the physical skill set for man coverage yet played in a zone- heavy Clemson defense. He may only have five career picks, but several of them came 1-2 in spectacular fashion. He's just got to work on his 21.8% career missed tackle rate to stick in zone coverage in the NFL. Lawrenceville, GA","bait on double-moves. explosiveness. his height.","Patient, quiet feet. Not a guy who takes the tackler. Drives out of his pedal with top-tier Strength throughout his frame. Long arms for his first year as a full-time starter.","F EET Booth wins with some of the best feet in the class. He's capable of firing out of his pedal at the drop of a hat in any direction. That suddenness serves him well, no matter the technique he's playing.","A LL- A R OU N D Booth has a skill set that can run any coverage. He's as scheme-diverse a corner as exists in this draft class, meaning everyone will have him on their board.","T A CKLIN G Booth's tackling is difficult to watch at times. It's not necessarily willingness-related, though, which means it's likely fixable. Booth has to strike through targets with his feet planted.","Booth is an ascending all-around player. Every defense in the NFL can find a spot for him."
"165","Coby Bryant","Bryant is a four-year starter who initially took over that role as a redshirt freshman in 2018. Since then, he's done one thing exceedingly well: get his hands on the football. He's picked off 10 passes and broken up 37 more over that span. He won the Jim Thorpe Award for top defensive back in the country this past fall. In the Bearcats defense, Bryant would often align in off-coverage to the field side while Sauce played press on the other, which is why he Mills has far more of a zone skill set than Cleveland, OH"," Can go toe-to-toe at the catch point. Transitions often unclean. spacing between routes.","Tracks the ball in the air like a wide receiver. corner. Had far fewer routes to worry about. Very willing hitter with quality form as a tackler. Great feel for zone coverage and maintaining traits.","BA LL SKILLS Bryant wins with his eyes and ball skills. He's tremendous at getting to the catch point and has the length to consistently impact it.","OF F - Z ON E Bryant is at his best in off-zone coverage and would fit in best with the two-high defenses proliferating the NFL.","IN ST IN CT S Bryant has to be more instinctive if he is to get by with his middling physical tools. He produced because he could recover to the catch point against the weak arms he faced on his schedule, but that won't be the case in the NFL.","Bryant's production isn't necessarily the most translateable to the league, given his competition level and role."
"166","Tariq Castro","Castro-Fields has five years of experience now after playing 218 snaps as a true freshman in 2017. He became a starter as a sophomore in 2018 and planted his flag firmly on draft radars with a 77.5 coverage grade that season. It's been a slow trickle, however, developmentally ever since. He's never had more than four pass-breakups in any season of his career and only managed three interceptions. Now 23 years old, the probability he hits his ""upside"" has all but Boyd gone out the window. Upper Marlboro, MD","targets for 73 yards in press last year. route without committing penalties. touchdowns allowed in his entire career.","Different corner on vs. off coverage. Only 5-14 maintain relation with receiver Knack for getting into receivers bodies along Slow to process multiple stimuli. Clamped down in red zone. Only three mover.","P H Y SICA L P LA Y ST Y LE Most physical corners in college football you worry about being penalty machines at the next level. That's not the case with Castro-Fields who doesn't rely on being grabby to lock up receivers.","P R ESS- Z ON E He's not nimble enough to play true man and not instinctive enough for zone. He's a Seattle cover-3 type of corner.","BA LL T R A CKIN G Sometimes ball production can lie, but not in Castro-Fields' case. Only 15 pass-breakups in 1,293 coverage snaps is indicative of just how much Castro-Fields struggles to locate the football in the air.","Castro-Fields is physical corner with low-end ball skills and tackling issues. That's a scary combo when projecting to the NFL."
"167","Kaiir Elam","Elam has played a role for Florida ever since his freshman year in 2019. However, it wasn't until his sophomore year that he allowed the 42.6% completion percentage that put him on the map as a top prospect. Injuries limited his effectiveness this past fall, but it's not like he was easy to throw on. He 1-2 allowed only 18 catches from 35 targets for 185 yards all year, but a newfound penalty problem (seven flags in 10 games) kept his grade low. Rowe North Palm Beach, FL","corner position. of scrimmage. Deadening. Nearly 1,000 career coverage snaps.","Long, sturdy frame that everyone wants at the seven times in 10 games. Gets into shoulder pads consistently at the line downhill on balls in front of him. Vast experience against SEC competition. against Alabama in 2021.","P H Y SICA LIT Y Elam wins with his physicality. Whether it's at the line of scrimmage or at the catch point, you'll have to pack your hard hat and lunch pail to beat him.","P R ESS- Z ON E Elam is a good fit for press-zone teams. He excels on silo routes where he can maintain contact with opposing receivers.","P EN A LT IES Elam is going to be a flag machine in the NFL if he relies on his hands to stick with receivers in their route breaks. That has to change with illegal contact penalties in the league.","Despite an up and down 2021, Elam still showed the high-end reps he's capable of."
"168","Martin Emerson","Emerson played as a rotational corner as a true freshman in 2019 before becoming a full-time starter for 2020 and 2021. He's a long-limbed, physical corner who rarely got to play to his strengths in Mississippi State's defense. He should thrive in press coverage, given his physical tools, but he only lined up in press on 30.9% of his coverage snaps over the previous two seasons and allowed only 44.4% of his targets to be completed when doing so. Flowers Pensacola, FL","contact with receivers. commit penalties. hand placement.","Very patient and under-control playstyle. Initiates contact routinely in ways to not suddenness when he puts his foot in the ground. Attacks the catch point with great timing and catch defenders in off-coverage.","LEN G T H Emerson wins with his length. He's a unique size for the corner position and has had an in-built physicality advantage against almost everyone he went up against.","P R ESS- Z ON E Emerson is a press-zone corner. He can stonewall guys at the line, but he's not going to be able to guard a full route tree in the NFL.","OF F COV ER A G E Most of Emerson's negatives are physical in nature, but his technique in off-coverage has to change. He can't play every route in front of him flat-footed and get away with it at the next level.","Emerson gets by with his size, but his athletic limitations are scary for an outside corner."
"169","Cordale Flott","Flott's declaration was an eye opener for many including myself. The 20-year old corner is physically underdeveloped still and has never been a full-time starter at the position he profiles best: outside corner. Even still, his tape at slot corner the past two seasons is more than worth taking a chance on. And when he did fill in outside over his final five games of 2021, Flott allowed only 3-8 targets for 40 yards on 89 coverage snaps. Redmond Saraland, AL","lightest guy on LSU's defense. directions. Nimble athlete. the line to make plays.","Spunky slot corner. Could never tell he was the muscle to even see the field in the NFL. Bounces out of his cuts when changing tackler without traits to develop. Fearless closing to ball carriers. Puts body on only 394 career snaps there.","MEN T A LIT Y Flott won't give you an inch and then he'll let you know about it after the play. He's the kind of corner that will wave ""incomplete"" after he's torched and the ball is overthrown. Can't teach his confidence.","V ER SA T ILE Flott has a versatile body type and all-around athletic skillset. It just depends on where he ends up physically from a size perspective with time in an NFL weight room.","MU SCLE MA SS Flott punches above his weight class, but he's still a featherweight about to be thrown into the ring with heavyweights. There's a reason he didn't bench pre-draft and it won't bode well for him in the league.","He's not ready yet, but he has the kind of profile you want to bet on developing."
"170","Ahmad Gardner","Between the ""Sauce"" moniker and the fact he never allowed a touchdown in his college career, it's easy to like Gardner as a cornerback prospect. He's been playing press-man on an island since he got to Cincinnati's campus, and he is utterly dominant at it. While there are level-of- Top-10 competition concerns, Gardner still allowed only 14 yards on four targets to Alabama in the playoffs last year. He may not fit every scheme, but you won't find a better corner Smith prospect for the ones he does fit. Detroit, MI","corner. play bully ball. — 851 press-coverage snaps in career.","Pterodactyl build. Massive wingspan for a hips, slowing his transitions. Ends routes before they start. Knows he can game. Built in a lab to play press with ton of experience his career.","P R ESS- MA N Gardner wins with his unique frame, physical playstyle and oftentimes flawless technique. His 2021 season was teaching tape on how to impose your will on opposing receivers without committing penalties.","P R ESS- ISLA N D Press, press and more press. While it's going out of style as an every-down coverage in the league, high-leverage situations (third downs/goal-line) will always call for press corners. Gardner is that.","Z ON E R EP S Gardner will have to play off more in the pros. He has the length to shut windows in zone but needs the reps.","If you want to play press coverage with any regularity, this is your guy."
"171","Kyler Gordon","Gordon's ascent up the Washington depth chart has been slow and steady. He didn't technically start until his redshirt junior year this past fall, even though he played 503 snaps from 2019 to 2020. Even then, Gordon was the guy in the Huskies cornerback room who would fill in at slot cornerback in a pinch. That versatility should serve him well at the next level, where teams could even ask him to play safety. Everett, WA"," Serious hops. Played slot corner for the second half of 2021. a hurry.","Can get up and attack the catch point. inconsistent with his reads on jumping routes. Filled multiple roles for Washington's defense. quarterback. Closes to balls in a flash. Works back downhill in open-up hips immediately.","BU R ST Gordon has some of the best initial burst in the class and wins with that explosiveness in a number of ways. You see it in his play at the catch point and making up ground after route breaks.","V ER SA T ILE The Huskies may have been on to something when they kicked him into the slot regularly the past two seasons. His short-area quicks play well there. That's not to say he can't play outside, but he may be a better fit inside.","DISCIP LIN E Gordon has to put tape study into action more effectively. His decision-making on when to jump routes or pass off receivers was all over the map.","Gordon may get the athletic project label, but that's selling his tape short."
"172","Josh Jobe","Jobe was a backup as a freshman in before having a more expanded role as a sophomore in 2019. He put himself on the map as a draft prospect when he started in the Citrus Bowl against Michigan that year and allowed only 1-7 targets for 18 yards with a pick and two pass-breakups. That was a sign of things to come as Jobe would return for a shut-down junior campaign where he allowed only 209 yards on coverage snaps. In retrospect, Jobe would Moreland like to have declared then as he nearly tripled that figure in 2021. Cheshire, CT","begin at the line of scrimmage. contact. length for a cornerback his height.","Wants to end routes before the can even problem. 18 penalties the past two years. Tough as nails in the run game. Craves the Could explain his grabby tendencies. Makes up for his lack of size with outstanding back last fall.",NA,NA,NA,"The 2020 tape was better than 2021, but at his age is he really going to change who he is?"
"173","Marcus Jones","Jones' background is two-fold. First, you have his play at cornerback: He started in the slot as a true freshman for Troy in before kicking outside as a sophomore in 2018. Jones then transferred to Houston, where he's been balling out on the outside with a 50% completion rate allowed in his coverage the last two years. Then, you have his return ability: In his four years returning kicks, Jones took back three punts and six kicks -- including a game-winner Phillips against SMU last year -- for scores. Enterprise, AL","tackler in the run game. Hard-nosed dude. past few years.","Hips like butter. So clean in his transitions. Relishes the chance to get involved as a the catch point. The best returner in college football over the senior.","R ET U R N IN G It's impossible to talk about Jones without waxing on the value he could bring as a returner. He averaged 14.4 yards per punt return and 34.2 yards per kick return this past season as the highest- graded returner in the country.","SLOT Jones is a slot-only corner who will be your starting kick and punt returner from Day 1. While he wasn't used much in the role, he could be a weapon on slot blitzes with the way he plays the game.","CA T CH P OIN T Jones has to find ways to mitigate his size issues at the catch point. Whether that's improving his ball skills or getting stronger, it will be his most worrisome attribute in the NFL.","Jones is the best returner in the class and an all-around special teams dynamo."
"174","Derion Kendrick","Kendrick started his career at Clemson as a wide receiver before flipping over to cornerback for 2019 and 2020. In his final season with the Tigers, he was infamously torched by Ohio State in the playoffs before transferring to Georgia. His ball production flourished with the Bulldogs, as he exceeded his interception total from Clemson and matched his pass-breakup total in only one season. Rock Hill, SC","tape striding away from him. the football. clunkiness to his game.","Former wide receiver with the ball skills of one. Anticipatory player. Wants to make plays on toward the sideline on verticals. Calm feet and hips in his transitions. Not much","BA LL SKILLS Kendrick wins with his receiver background. His ability to track and play the ball in the air will be even more of a value add when he's tested more downfield in the league.","OF F - Z ON E Kendrick is likely at his best in off-zone on the outside, where he can get eyes on the quarterback. That will help his ball skills shine and mitigate his speed concerns.","CLOSIN G SEP A R A T ION Kendrick needs to do a better job of hiding his speed deficiencies with physicality. He has to maintain contact better to limit free paths downfield.","Kendrick has great ball skills, but his deficiencies were hidden on the loaded Georgia defense."
"175","Roger Mccreary","McCreary cut his teeth at Auburn playing as much press coverage against top competition as anyone in the draft class — and he's done it well. Ever since he took over as a starter in 2019, McCreary has been among the highest-graded corners in the country. He's racked up 28 pass breakups over that span. The worry is whether that will continue at the NFL level, given his less than ideal length for the position. Robinson Mobile, AL","targets. to gain leverage. in his breaks.","Savvy and battle-tested. Has seen 183 career want in press. Feisty at the catch point and does well to work Not many tools to recover. Fluid and balanced on the move. Really see it Far better on the line of scrimmage.","SA V V Y McCreary wins with some of the most consistent press-man technique in the class. He's smooth as can be in his transitions and has no real wasted motion. He plays faster than he may test.","SLOT - MA N McCreary has cut his teeth at Auburn in press-man coverage but doesn't have near the ideal physical skill set to hold up there on the outside in the NFL. If he goes to a man-heavy team, McCreary would be an ideal fit in the slot.","EY ES McCreary's negatives are almost all of the physical variety. The one thing he can improve upon are his eyes in off coverage, where he's far more reactionary than proactive at the moment.","McCreay is a high-floor corner with some of the most extensive experience against top competition in the class."
"176","Zyon Mccollum","McCollum is one of the handful of five- year starters in the draft class. He's been Sam Houston State's best corner since his true freshman year in 2017. Unfortunately, we only have his past two seasons graded, but in those he was stingy as the Bearkats boundary corner. The worry is - given the competition level - he wasn't that Stingey. He allowed 661 yards on 60-108 targets the past two seasons. In his opportunity to go against top competition at the Senior Bowl, King McCollum earned the third-lowest grade of any corner in attendance. Galveston, TX","at the cornerback position. double teams. instead of knocking them off their route.","A truly generational all-around testing athlete assignment. Knows he can make up ground and unfazed by bigger receivers and jostled off balance. Aggressive and willing in the run game.",NA,NA,NA,"The tools are as good as it gets at the position in the class. The fact that all those tools couldn't even lock down FCS competition gives you pause."
"177","Trent Mcduffie","McDuffie has quietly been locking down receivers since he stepped onto campus. As a true freshman starter in 2019, he allowed only 339 yards on 436 coverage snaps. But even that paled in comparison to how stingy he was this past fall, as he allowed just 111 yards all season. While he's played Top-10 exclusively outside in his career, McDuffie has the size and tackling ability for the slot. He missed only 6.9% of his tackle attempts in his career. Alexander Bellflower, CA","hurry. with uncoachable ferocity. strength throughout.","Accelerates like a Tesla. Can get moving in a some teams. The best tackling corner in the class. Comes in press-man experience. May be short but isn't small. Stout build with peers. Only nine pass breakups on 100 targets.","A G ILIT Y McDuffie wins with his elite burst and physical playstyle. He's seasoned in zone coverage and has the ideal skill set to continue to do that at the NFL level.","V ER SA T ILE- Z ON E McDuffie can play outside, he can play slot, and he could even play safety if you want. He's got a versatile skill set that can handle any coverage role.","P R ESS McDuffie's press technique is a work in progress. He'll stop his feet when he extends his arms to initiate contact, leaving him vulnerable if he whiffs.","The best zone corner in the class. He's more than that label, though."
"178","Derek Stingley","Stingley's true freshman season is still the best we've ever seen at the cornerback position in our eight years of grading college football. That year, he was the highest-graded corner in the FBS and allowed only a 37.0 completion percentage with six picks and 15 pass breakups en route Top-10 to a national title. Unfortunately, the two injury-plagued years since haven't had near the same panache. While that talent didn't Dominique go anywhere, the effort he put on tape Rodgers- (even when healthy) will scare off some. Cromartie Baton Rouge, LA","deep. 49% of his career coverage snaps. every day for a tall corner.","First-class speed. No fear of getting beaten (2020) and foot (2021) injuries. Press-man pedigree. Lined up in press-man on 17.9% of his career tackle attempts. Has the kind of feet and hips you don't see zone coverage.","A T H LET ICISM Uber athleticism, acceleration, agility, speed, change of direction — you name it, he has it. That's the skill set you want to play man coverage in the NFL.","ISLA N D Put Stingley in press-man on the outside and worry about the rest of your defense. He can be that island corner that doesn't require safety help to go toe-to-toe with the game's best.","CON SIST EN CY Stingley has put up too much lackadaisical tape the past two seasons. That wasn't unique to him on the LSU roster, but there were some uninspiring attempts to get involved in plays he should have been involved in.","He's got every single tool in the bag you could want to play corner at an elite level, but he just hasn't been locked in the past two seasons."
"179","Alontae Taylor","Taylor has been starting for the Volunteers ever since his true freshman season in 2018. He flashed some serious athletic potential that season and graded out well enough with a 66.3 coverage grade to get you excited about his prospects. The next two seasons, however, never quite delivered upon that promise. It wasn't until this past season where Taylor put it all together from a grading perspective, but was still up and down in his consistency. Taylor Manchester, TN","projecting to the NFL. the field on crossers. Tennessee. Recruited as a wide receiver.","Physical demeanor that you love when killshot/forced fumble and slips off. Plus recovery speed and ability to range across loses some steam. Didn't play cornerback until he got to Only 13 PBUs in four years.",NA,NA,NA,"Taylor's versatile body type and athletic skillset makes him projectable to just about any coverage position at the next level."
"180","Cam Taylor","Taylor-Britt started his career off at safety as a redshirt freshman in 2019 before transitioning the last three games that year to outside corner where's he's stuck ever since. Unfortunately, Nebraska's scheme never quite fully took advantage of Taylor- Britt's skillset. He's a physical player who 2-3 loves to get his hands on opposing wide receivers and all too often he was backing into off coverage where his aggressiveness CB Darnell worked against him. It's why he gave up Savage such high catch rates over his career despite being tough to shake one-on-one. Montgomery, AL","downhill. class. Out for blood. versatile athlete.","Easy burst out of his pedal to work back unnecessary risks on tape. Arguably the hardest hitting corner in the draft particularly NFL translateable coverages. Started career off at safety and is that kind of of his man staring down the quarterback.","CLOSIN G When Taylor-Britt makes up his mind about going somewhere, look out. He's coming in hot and heavy. Whether that's balls in the air or ball carriers themselves, Taylor-Britt is getting there with bad intentions.","A N Y WH ER E I say ""anywhere"" because Taylor-Britt has the kind of game that can fit in any coverage position. He was an outside corner the past two years, but his range and physicality will play at safety while his burst will work in the slot.","P A T IEN CE Taylor-Britt has a lot of dog in him on tape. Unfortunately, that dog also chases every squirrel he sees. Taylor-Britt has to improve his patience to not get manipulated out of position.","Taylor-Britt brings some of the best coverage versatility of any defender in the class. His position can be fluid based on your defense."
"181","Jaylen Watson","Watson started off at Ventura College where he spent two years before comitting to USC. He was supposed to enroll with the Trojans in 2019, but never qualified academically and spent a year back home away from football. Watson returned after getting his grades in order to Washington State in 2020 where he played only three games that season before becoming the breakout prospect you see today. He's still more physical projection than anything else Harris and you'd just like to see him play more Augusta, GA","along the route. ground down the field. the Senior Bowl.","Long, physical corner that consistently disrupts to be a match-and-mirror guy NFL-caliber build up speed that can make up over the map Allowed only 2-8 targets in the one-on-ones at",NA,NA,NA,"Watson is a late-round toolsy project that should land in a scheme that values length and physicality."
"182","Joshua Williams","Williams is the lone prospect in the guide that we don't have graded. I'm not sure how much information one can glean, though, from grades that say he dominated Division II competition. Over the course of practices at the Senior Bowl, Williams allowed 9-16 targets with only four of those coming 10+ yards downfield and had three forced incompletions. Fayetteville, NC","Uber-long frame with wings that can trap you at the line. Supremely quick feet for a taller corner. Resets swiftly at the line. Graceful mover. Hip swivel that can react to routes against his leverage with ease.","Recovery burst/speed is average. Needs to keep in phase. Bigger wide receivers were able to fight through his hands at the Senior Bowl Could stand to add muscle to his frame. Will need it with massive competition leap.",NA,NA,NA,"Williams has uncoachable fluidity at his height. That's the trait I want from a developmental corner."
"183","Tariq Woolen","Woolen started on the offensive side of the ball where he redshirted as a freshman in 2017. He then started to see the field in 2018 before starting in 2019. After he'd dropped seven of his 31 catchable targets to start his career the UTSA coaching staff had seen enough. He flipped over to cornerback midseason and ended up seeing 38 snaps there by their last regular season game. Woolen said he'd play Good Luck Madden to try to learn the ins and outs of Finding the position in the mean time. Over the next Someone two seasons he put up solid numbers as the boundary corner in UTSA's defense. Fort Worth, TX","you'll ever see on a football field. influence. fish to water.","World class speed. Top speed is as good as that will always be there at his size. Pool noodles for arms. Massive sphere of miss rate. Took to the physical aspect of defense like a before switching to CB","F R EA KY - N ESS Every DB coach in the NFL is licking their chops to work with this guy. Size, length, burst, speed - there's not a corner in NFL history with a better combination of those things.","P R ESS- V ER SA T ILE Versatile here means man or zone, not alignment. He has to be on the outside at the line of scrimmage for his skillset to shine.","P R ESS T ECH N IQU E At his size, press has to be Woolen's bread and butter. His massive wingspan can make up for mistakes, but he's quick to drop step to make up for hip tightness instead of staying square and using the receiver to help him turn.","There aren't many rawer corners in the class, but he has a valid excuse. What could he be with two moer years of coaching? T"
"184","Mykael Wright","Wright opened eyes with his play on snaps as a true freshman in 2019 when he N/A allowed only 8-of-23 targets for 83 yards. That would unfortunately be his peak as his performance went the wrong way the next N/A two seasons. He came in a very highly touted athlete out of high school, but 7-UDFA physically took zero steps in his development over the past three seasons. In fact, he lost weight from his listed pounds as a freshman. He was a guy you'd Cheevers hope played a couple more years at Oregon while he lived in the weight room, but he curiously declared early. Lancaster, CA","scrimmage. Plus processing speed. feet pattering to work back to balls. scores as a freshman.","Reads receivers like a book at the line of NFL at the moment. Smooth hips. Easy turns out of his pedal. Offers something as a returner. Two kick return Got worse as career wore on.","IN ST IN CT S Wright is a very natural corner who has many of the intagibles you want at the position. If he was a better athlete, his ball production would be in the upper echelon of the class.","SP ECIA L T EA MS Wright will have to prove his dedication by being a special teams dog to make a roster. He hasn't been a core teams guy the last two years, though.","BODY Wright's complete lack of physical development over his college career is one of the weirder prospect trajectories in the class. He was not only bigger in high school, but also faster.","Small and slow is not going to see the field at corner in the NFL."
"185","Tycen Anderson","Anderson saw 202 snaps as a part time safety his freshman year in 2017. He then locked down the slot role in Toledo's defense as a sophomore before becoming a starting all-around safety in 2019. Over the past two seasons, though, he's trended towards more of a box-slot player with few 3-4 deep reps on his tape. That's likely by design as he's shown issues locating deeper targets. His work around the line is where he wins and will be coveted for his versatility Apke there in the NFL. Toledo, OH"," Bounces between assignments easily cornerback movement skills. contact.","So sharp out of his cuts for a bigger safety. Does not locate well. Rocked up safety with massive wingspan yet ball carriers Decisive and violent tackler. No hesitation into Technique is not.",NA,NA,NA,"Anderson has the kind of size, athleticism, and versatility to thrive in a man heavy scheme."
"186","Markquese Bell","Bell has carved out quite the path en route to becoming a potential 2022 NFL Draft pick. He started out at Maryland in 2017 where he was suspended for undisclosed reasons prior to his first collegiate game. He then abruptly left the program before playing a snap and transferred to Coffeyville Community College in Kansas. After one year there, Bell transferred to Florida A&M where he's been starting ever since. We only have one full Tell season of Bell graded and his 2020 season was cancelled due to COVID. Bridgeton, NJ","on blockers. vertical routes. in 2021.","Lanky frame that he already uses well to take deep safety. Barely even played there. Kind of speed that can makeup up steps on of his tackling in the box whatsoever. Aggressive filling the run. Three forced fumbles Needs to get stronger.",NA,NA,NA,"It's hard to envision a safety role in the NFL that he could excel at. With Bell's length and speed, he's a candidate to be a corner convert in the NFL."
"187","Jaquan Brisker","All Brisker has done since transferring from Lackawanna Community College in 2019 is play outstanding football for the Nittany Lions. He's been as capable as an extra linebacker when asked to play in the box and has more than enough range to close passing windows from a deeper alignment. For his career, he's allowed a 47.3 passer rating on throws into his coverage. Brisker ticks about as many boxes for the safety position as one can. Bell Monroeville, PA","will. Tremendous run defender. tracks as a tackler. Penn State last season.","Adds on to the run game with uncoachable and can lose responsibility. Explosive athlete who stops ball carriers in their coverage responsibility much. Nose for the football. He was everywhere for Hips are nothing special.","P H Y SICA LIT Y Brisker is a tone-setter at the safety position. He's going to take on blocks, rip through ball carriers and attack the catch point. He has the kind of explosiveness to continue that in the NFL.","BOX - SLOT Brisker needs to be around the ball as much as possible, and he's not too far off from even being considered a linebacker.","EY ES He needs to improve his eyes in coverage to hold up in matchup-zone coverages in the NFL. He's too easily manipulated by quarterbacks.","Brisker's play-style and explosiveness make him a very easy projection to the NFL."
"188","Percy Butler","Butler started on special teams as a true freshman before earning a starting role in Billy Napier's defense as a sophomore. He's played a very NFL-translateable role in the Ragin' Cajuns defense ever since with around half his snaps coming as a deep safety and the other half being split between the box and slot. In that role he's graded out as a high-quality starter for three straight seasons with only 356 yards allowed in his entire collegiate career. His Redwine biggest issues stem from his tackling where he's missed 14.5% of his career attempts. Plaquemine, LA","receiver's hip pockets effortless. to react and accelerate. straight seasons.","Easy kind of athleticism to make staying in Looks like a corner dropped at safety. Balanced in his pedal with feet that are quick competition in 2021 (Texas). Consistent highly graded performance for three given competition level.",NA,NA,NA,"Butler is perfect for a coverage-first safety role or even a switch to cornerback altogether."
